2026-04-28 20:07:46 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:07:46 | INFO | SmartScraper | Success with requests!
2026-04-28 20:07:46 | INFO | SmartScraper | Data extracted for /en/ad/ready-to-move-in-apartment-185-m-3-bedrooms-34-finished-in-a-prime-location-overlooking-the-largest-landscaped-area-in-hyde-park-fifth-settlement-ID503306840.html
2026-04-28 20:07:47 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:07:50 | INFO | SmartScraper | Response status: 200, length: 4784024
2026-04-28 20:07:50 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:07:50 | INFO | SmartScraper | Success with requests!
2026-04-28 20:07:50 | INFO | SmartScraper | Data extracted for /en/ad/resale-apartment-207-m-fully-finished-and-ready-to-move-in-in-a-prime-location-in-hyde-park-fifth-settlement-new-cairo-ID503317362.html
2026-04-28 20:07:50 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:07:52 | INFO | SmartScraper | Response status: 200, length: 4776910
2026-04-28 20:07:52 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:07:52 | INFO | SmartScraper | Success with requests!
2026-04-28 20:07:52 | INFO | SmartScraper | Data extracted for /en/ad/lowest-price-for-an-apartment-with-immediate-occupancy-10-down-payment-no-interest-2-bedroom-apartment-113-sq-m-for-sale-in-hyde-park-fifth-s-ID503276733.html
2026-04-28 20:07:52 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:07:54 | INFO | SmartScraper | Response status: 200, length: 4788711
2026-04-28 20:07:54 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:07:54 | INFO | SmartScraper | Success with requests!
2026-04-28 20:07:54 | INFO | SmartScraper | Data extracted for /en/ad/an-opportunity-for-luxurious-living-in-heart-of-new-cairo-receive-now-a-duplex-with-view-park-prime-corner-location-near-mountain-view-hyde-park-ID503369939.html
2026-04-28 20:07:54 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:07:57 | INFO | SmartScraper | Response status: 200, length: 4792416
2026-04-28 20:07:57 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:07:57 | INFO | SmartScraper | Success with requests!
2026-04-28 20:07:57 | INFO | SmartScraper | Data extracted for /en/ad/under-market-price-apartment-2-bedrooms-bahry-for-sale-ready-to-move-view-landscape-very-prime-location-in-hyde-park-new-cairo-ID503396059.html
2026-04-28 20:07:57 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:07:59 | INFO | SmartScraper | Response status: 200, length: 4787749
2026-04-28 20:07:59 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:07:59 | INFO | SmartScraper | Success with requests!
2026-04-28 20:07:59 | INFO | SmartScraper | Data extracted for /en/ad/under-market-price-duplex-234-for-sale-bahry-ready-to-move-view-landscape-very-prime-location-in-hyde-park-fifth-settlement-ID503395973.html
2026-04-28 20:07:59 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:00 | INFO | SmartScraper | Response status: 200, length: 4776176
2026-04-28 20:08:00 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:00 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:01 | INFO | SmartScraper | Data extracted for /en/ad/apartment-113m2-2-bedrooms-in-hyde-park-new-cairo-directly-on-90th-street-priced-at-117-million-ID503356779.html
2026-04-28 20:08:01 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:02 | INFO | SmartScraper | Response status: 200, length: 4794657
2026-04-28 20:08:02 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:02 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:02 | INFO | SmartScraper | Data extracted for /en/ad/with-dp-5-new-launch-at-hyde-park-new-cairo-own-apartment-3bed-next-to-auc-on-south-90-direct-ID503387688.html
2026-04-28 20:08:03 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:05 | INFO | SmartScraper | Response status: 200, length: 4785998
2026-04-28 20:08:05 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:05 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:06 | INFO | SmartScraper | Data extracted for /en/ad/for-sale-lowest-price-for-apartment-ready-for-viewing-with-prime-location-view-landscape-for-sale-hyde-park-new-cairo-fifth-settlement-next-to-mivida-ID503281376.html
2026-04-28 20:08:06 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:07 | INFO | SmartScraper | Response status: 200, length: 4779908
2026-04-28 20:08:07 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:07 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:08 | INFO | SmartScraper | Data extracted for /en/ad/apartment-for-sale-in-hyde-park-new-cairo-ID503379016.html
2026-04-28 20:08:08 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:10 | INFO | SmartScraper | Response status: 200, length: 4784405
2026-04-28 20:08:10 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:10 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:11 | INFO | SmartScraper | Data extracted for /en/ad/%D9%81%D8%B1%D8%B5%D8%A9-%D9%85%D9%85%D9%8A%D8%B2%D8%A9-maizonate-%D9%81%D9%8A-hyde-park-%D8%A8%D8%AC%D8%A7%D8%B1%D8%AF%D9%86-100%D9%85-%D8%AA%D8%B4%D8%B7%D9%8A%D8%A8-%D9%83%D8%A7%D9%85%D9%84-%D8%A8%D8%A7%D9%84%D8%AA%D9%83%D9%8A%D9%8A%D9%81%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-%D8%A8%D8%A3%D9%82%D9%84-%D9%85%D9%86-%D8%B3%D8%B9%D8%B1%D9%87%D8%A7-%D8%A7%D9%84%D8%AD%D8%A7%D9%84%D9%89-ID503383090.html
2026-04-28 20:08:11 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:12 | INFO | SmartScraper | Response status: 200, length: 4791731
2026-04-28 20:08:12 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:12 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:13 | INFO | SmartScraper | Data extracted for /en/ad/luxury-apartment-in-prime-east-cairo-location-fully-finished-with-hotel-standards-high-rental-return-opportunity-with-premium-facilities-ID503341036.html
2026-04-28 20:08:13 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:14 | INFO | SmartScraper | Response status: 200, length: 4775676
2026-04-28 20:08:14 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:14 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:15 | INFO | SmartScraper | Data extracted for /en/ad/prime-location-2-bedroom-apartment-116-sq-m-for-sale-in-hyde-park-new-cairo-park-way-residence-near-90th-street-and-the-americ-ID503276734.html
2026-04-28 20:08:15 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:17 | INFO | SmartScraper | Response status: 200, length: 4799060
2026-04-28 20:08:17 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:17 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:17 | INFO | SmartScraper | Data extracted for /en/ad/with-installment-20k-ready-to-move-2-bedrooms-open-view-apartment-for-sale-in-hyde-park-fifth-settlement-next-to-mountain-view-and-amorada-ID502551028.html
2026-04-28 20:08:17 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:19 | INFO | SmartScraper | Response status: 200, length: 4793112
2026-04-28 20:08:19 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:08:19 | INFO | SmartScraper | Success with requests!
2026-04-28 20:08:20 | INFO | SmartScraper | Data extracted for /en/ad/fully-finished-3-bedroom-apartment-for-sale-in-hyde-park-direct-on-south-90th-street-hyde-park-new-cairo-ID503227090.html
2026-04-28 20:08:20 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:08:21 | INFO | SmartScraper | Response status: 200, length: 4788004
2026-04-28 20:08:21 | INFO | SmartScraper | Content looks valid, using requests response
