2026-04-27 18:59:02 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 18:59:02 | INFO | SmartScraper | Success with requests!
2026-04-27 18:59:03 | INFO | SmartScraper | Data extracted for /en/ad/ready-to-move-in-apartment-185-m-3-bedrooms-34-finished-in-a-prime-location-overlooking-the-largest-landscaped-area-in-hyde-park-fifth-settlement-ID503306840.html
2026-04-27 18:59:03 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 18:59:04 | INFO | SmartScraper | Response status: 200, length: 4778773
2026-04-27 18:59:04 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 18:59:04 | INFO | SmartScraper | Success with requests!
2026-04-27 18:59:04 | INFO | SmartScraper | Data extracted for /en/ad/resale-apartment-207-m-fully-finished-and-ready-to-move-in-in-a-prime-location-in-hyde-park-fifth-settlement-new-cairo-ID503317362.html
2026-04-27 18:59:04 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 18:59:05 | INFO | SmartScraper | Response status: 200, length: 4771689
2026-04-27 18:59:05 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 18:59:05 | INFO | SmartScraper | Success with requests!
2026-04-27 18:59:06 | INFO | SmartScraper | Data extracted for /en/ad/lowest-price-for-an-apartment-with-immediate-occupancy-10-down-payment-no-interest-2-bedroom-apartment-113-sq-m-for-sale-in-hyde-park-fifth-s-ID503276733.html
2026-04-27 19:08:29 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 19:08:44 | ERROR | SmartScraper | Request error: Failed to perform, curl: (28) Operation timed out after 15007 milliseconds with 153714 bytes received. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2026-04-27 19:08:45 | INFO | SmartScraper | Challenge detected. Using Selenium...
2026-04-27 19:09:20 | INFO | SmartScraper | Data extracted for /en/ad/an-opportunity-for-luxurious-living-in-heart-of-new-cairo-receive-now-a-duplex-with-view-park-prime-corner-location-near-mountain-view-hyde-park-ID503369939.html
